Bathymodiolus_platifrons_BPL|Bpl_scaf_56674-3.3	ab82f4b024185b75ec7580fb9cb1e11e	619	PANTHER	PTHR13627:SF28		127	615	5.1E-103	T	31-10-2018
Bathymodiolus_platifrons_BPL|Bpl_scaf_56674-3.3	ab82f4b024185b75ec7580fb9cb1e11e	619	Pfam	PF04991	LicD family	435	490	3.8E-7	T	31-10-2018	IPR007074	LicD family		
Bathymodiolus_platifrons_BPL|Bpl_scaf_56674-3.3	ab82f4b024185b75ec7580fb9cb1e11e	619	PANTHER	PTHR13627		127	615	5.1E-103	T	31-10-2018
Modiolus_philippinarum_MPH|Mph_scaf_38230-0.3	1265fc88f6c88b043fadfdd6d7f49470	428	Coils	Coil		396	396	-	T	31-10-2018
Modiolus_philippinarum_MPH|Mph_scaf_38230-0.3	1265fc88f6c88b043fadfdd6d7f49470	428	PANTHER	PTHR13627		396	428	3.4E-65	T	31-10-2018
Modiolus_philippinarum_MPH|Mph_scaf_38230-0.3	1265fc88f6c88b043fadfdd6d7f49470	428	PANTHER	PTHR13627		119	367	3.4E-65	T	31-10-2018
Modiolus_philippinarum_MPH|Mph_scaf_38230-0.3	1265fc88f6c88b043fadfdd6d7f49470	428	PANTHER	PTHR13627:SF28		396	428	3.4E-65	T	31-10-2018
Modiolus_philippinarum_MPH|Mph_scaf_38230-0.3	1265fc88f6c88b043fadfdd6d7f49470	428	PANTHER	PTHR13627:SF28		119	367	3.4E-65	T	31-10-2018
Exaiptasia_pallida_EPA|XP_020897116.1	c5ec72b3514388da6933899511dc1ab7	685	Coils	Coil		103	130	-	T	31-10-2018
Exaiptasia_pallida_EPA|XP_020897116.1	c5ec72b3514388da6933899511dc1ab7	685	Pfam	PF04991	LicD family	499	556	4.9E-6	T	31-10-2018	IPR007074	LicD family		
Exaiptasia_pallida_EPA|XP_020897116.1	c5ec72b3514388da6933899511dc1ab7	685	PANTHER	PTHR13627:SF28		120	681	3.9E-162	T	31-10-2018
Exaiptasia_pallida_EPA|XP_020897116.1	c5ec72b3514388da6933899511dc1ab7	685	PANTHER	PTHR13627		120	681	3.9E-162	T	31-10-2018
Exaiptasia_pallida_EPA|XP_020895602.1	c5ec72b3514388da6933899511dc1ab7	685	Coils	Coil		103	130	-	T	31-10-2018
Exaiptasia_pallida_EPA|XP_020895602.1	c5ec72b3514388da6933899511dc1ab7	685	Pfam	PF04991	LicD family	499	556	4.9E-6	T	31-10-2018	IPR007074	LicD family		
Exaiptasia_pallida_EPA|XP_020895602.1	c5ec72b3514388da6933899511dc1ab7	685	PANTHER	PTHR13627:SF28		120	681	3.9E-162	T	31-10-2018
Exaiptasia_pallida_EPA|XP_020895602.1	c5ec72b3514388da6933899511dc1ab7	685	PANTHER	PTHR13627		120	681	3.9E-162	T	31-10-2018
Exaiptasia_pallida_EPA|XP_020895605.1	c5ec72b3514388da6933899511dc1ab7	685	Coils	Coil		103	130	-	T	31-10-2018
Exaiptasia_pallida_EPA|XP_020895605.1	c5ec72b3514388da6933899511dc1ab7	685	Pfam	PF04991	LicD family	499	556	4.9E-6	T	31-10-2018	IPR007074	LicD family		
Exaiptasia_pallida_EPA|XP_020895605.1	c5ec72b3514388da6933899511dc1ab7	685	PANTHER	PTHR13627:SF28		120	681	3.9E-162	T	31-10-2018
