Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	PANTHER	PTHR45240		26	432	5.0E-94	T	31-10-2018
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	Pfam	PF01400	Astacin (Peptidase family M12A)	124	314	4.6E-60	T	31-10-2018	IPR001506	Peptidase M12A	GO:0004222|GO:0006508	
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	SMART	SM00235		121	264	2.2E-38	T	31-10-2018	IPR006026	Peptidase, metallopeptidase	GO:0006508|GO:0008237|GO:0008270	
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	CDD	cd00041	CUB	356	471	2.36411E-34	T	31-10-2018	IPR000859	CUB domain		
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	PRINTS	PR00480	Astacin family signature	299	312	1.9E-26	T	31-10-2018	IPR001506	Peptidase M12A	GO:0004222|GO:0006508	
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	PRINTS	PR00480	Astacin family signature	146	164	1.9E-26	T	31-10-2018	IPR001506	Peptidase M12A	GO:0004222|GO:0006508	
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	PRINTS	PR00480	Astacin family signature	202	220	1.9E-26	T	31-10-2018	IPR001506	Peptidase M12A	GO:0004222|GO:0006508	
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	PRINTS	PR00480	Astacin family signature	221	238	1.9E-26	T	31-10-2018	IPR001506	Peptidase M12A	GO:0004222|GO:0006508	
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	PRINTS	PR00480	Astacin family signature	259	274	1.9E-26	T	31-10-2018	IPR001506	Peptidase M12A	GO:0004222|GO:0006508	
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	PIRSF	PIRSF036365		24	470	1.1E-97	T	31-10-2018	IPR017050	Metallopeptidase, nematode	GO:0008237|GO:0018996	
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	SMART	SM00042		356	472	2.2E-34	T	31-10-2018	IPR000859	CUB domain		
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	Coils	Coil		27	47	-	T	31-10-2018
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	Pfam	PF00431	CUB domain	356	469	9.3E-24	T	31-10-2018	IPR000859	CUB domain		
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	ProSiteProfiles	PS01180	CUB domain profile.	356	472	25.611	T	31-10-2018	IPR000859	CUB domain		
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	Gene3D	G3DSA:2.60.120.290		347	471	1.5E-30	T	31-10-2018	IPR035914	Spermadhesin, CUB domain superfamily		
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	CDD	cd04280	ZnMc_astacin_like	127	311	2.60031E-72	T	31-10-2018	IPR034035	Astacin-like metallopeptidase domain	GO:0004222|GO:0006508	
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	Gene3D	G3DSA:3.40.390.10		67	316	4.4E-69	T	31-10-2018	IPR024079	Metallopeptidase, catalytic domain superfamily	GO:0008237	
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	SUPERFAMILY	SSF55486		120	313	1.0E-49	T	31-10-2018
Crassostrea_virginica_CVI|XP_022329351.1	58fccd2d017d9d1834022e417d53f703	473	SUPERFAMILY	SSF49854		355	471	4.19E-32	T	31-10-2018	IPR035914	Spermadhesin, CUB domain superfamily		
Lamellibrachia_luymsi_proteins_LLU|FUN_003832-T1	00e95c706543671d43f6babe2b772fdd	629	Coils	Coil		244	284	-	T	31-10-2018
Lamellibrachia_luymsi_proteins_LLU|FUN_003832-T1	00e95c706543671d43f6babe2b772fdd	629	SUPERFAMILY	SSF55486		295	435	1.27E-28	T	31-10-2018
Lamellibrachia_luymsi_proteins_LLU|FUN_003832-T1	00e95c706543671d43f6babe2b772fdd	629	SMART	SM00235		196	387	2.9E-5	T	31-10-2018	IPR006026	Peptidase, metallopeptidase	GO:0006508|GO:0008237|GO:0008270	
Lamellibrachia_luymsi_proteins_LLU|FUN_003832-T1	00e95c706543671d43f6babe2b772fdd	629	SUPERFAMILY	SSF49854		512	609	2.88E-5	T	31-10-2018	IPR035914	Spermadhesin, CUB domain superfamily		
Lamellibrachia_luymsi_proteins_LLU|FUN_003832-T1	00e95c706543671d43f6babe2b772fdd	629	Gene3D	G3DSA:3.40.390.10		230	437	2.9E-33	T	31-10-2018	IPR024079	Metallopeptidase, catalytic domain superfamily	GO:0008237	
Lamellibrachia_luymsi_proteins_LLU|FUN_003832-T1	00e95c706543671d43f6babe2b772fdd	629	MobiDBLite	mobidb-lite	consensus disorder prediction	144	164	-	T	31-10-2018
Lamellibrachia_luymsi_proteins_LLU|FUN_003832-T1	00e95c706543671d43f6babe2b772fdd	629	PRINTS	PR00480	Astacin family signature	343	360	5.6E-16	T	31-10-2018	IPR001506	Peptidase M12A	GO:0004222|GO:0006508	
Lamellibrachia_luymsi_proteins_LLU|FUN_003832-T1	00e95c706543671d43f6babe2b772fdd	629	PRINTS	PR00480	Astacin family signature	382	397	5.6E-16	T	31-10-2018	IPR001506	Peptidase M12A	GO:0004222|GO:0006508	
Lamellibrachia_luymsi_proteins_LLU|FUN_003832-T1	00e95c706543671d43f6babe2b772fdd	629	PRINTS	PR00480	Astacin family signature	421	434	5.6E-16	T	31-10-2018	IPR001506	Peptidase M12A	GO:0004222|GO:0006508	
Lamellibrachia_luymsi_proteins_LLU|FUN_003832-T1	00e95c706543671d43f6babe2b772fdd	629	PRINTS	PR00480	Astacin family signature	324	342	5.6E-16	T	31-10-2018	IPR001506	Peptidase M12A	GO:0004222|GO:0006508	
